action,close,confidence,date,position_before,reason,risk,risk_veto_applied,source,target_position,ticker,weighted_score
BUY,237.797256,0.7677,2025-09-03,0.0,Trust-weighted agent score=0.565; regime=bullish; risk_level=low; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is zero, RSI is moderate, MACD bullish, and price is above all key moving averages. Volume is above average. No immediate risk signals detected.",False,trust_weight_module,0.8,AAPL,0.565
SELL,253.911667,0.7763,2025-09-30,0.8,Trust-weighted agent score=-0.575; regime=bullish; risk_level=extreme; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,RSI at 82.77 indicates overbought territory; price near MA5 with low volume ratio suggests weak momentum; high 20d volatility (0.29) and elevated returns over 20d/60d imply potential mean reversion risk.,False,trust_weight_module,0.0,AAPL,-0.575138
BUY,268.241089,0.7581,2025-10-28,0.0,Trust-weighted agent score=0.558; regime=bullish; risk_level=medium; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Max position is constrained by volatility, 60-day drawdown, RSI, and portfolio drawdown.",False,trust_weight_module,0.8,AAPL,0.557542
SELL,276.45636,0.5923,2025-11-25,0.8,Trust-weighted agent score=-0.064; regime=bullish; risk_level=medium; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is 0.0, but current position is high at 0.8. RSI is elevated (61.56) and MACD signal line is above MACD, suggesting potential short-term weakness. Volume is below average (ratio 0.91). Consider reducing exposure to 0.6 to manage risk.",False,trust_weight_module,0.6,AAPL,-0.063782
SELL,273.302216,0.7951,2025-12-24,0.6,Trust-weighted agent score=-0.643; regime=bearish; risk_level=high; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is -2.61%, RSI is 33.5 (near oversold), price below MA20, and volume ratio is very low (0.41), indicating weak momentum and potential further decline.",False,trust_weight_module,0.0,AAPL,-0.643193
BUY,271.889526,0.7636,2026-02-24,0.0,Trust-weighted agent score=0.567; regime=bullish; risk_level=low; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is minimal (-2.61%), RSI is neutral (52.45), MACD is bullish (above signal), and price is above all major moving averages. However, volume is below average (0.85) and 60-day return is slightly negative, suggesting caution.",False,trust_weight_module,0.8,AAPL,0.567489
SELL,251.408371,0.8003,2026-03-24,0.8,Trust-weighted agent score=-0.644; regime=bearish; risk_level=high; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Price below all major moving averages (MA5, MA20, MA60) with RSI at 33.6 near oversold; MACD negative and below signal line; 20-day return -7.5% and 60-day return -8.0% indicate sustained downtrend; portfolio drawdown -8.5% approaching typical stop-loss threshold; current position 0.8 exceeds recommended max position of 0.4.",False,trust_weight_module,0.0,AAPL,-0.643777
BUY,272.918579,0.7381,2026-04-22,0.0,Trust-weighted agent score=0.495; regime=bullish; risk_level=medium; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,"Portfolio drawdown is moderate at -8.5%, RSI is elevated near 67, and recent returns are positive but volatility remains high. Maintain cautious position sizing.",False,trust_weight_module,0.8,AAPL,0.494626
SELL,302.25,0.6815,2026-05-20,0.8,Trust-weighted agent score=-0.319; regime=bullish; risk_level=extreme; asset_profile=mega-cap stock/medium_volatility; position bounded by asset-adaptive profile.,RSI at 84.8 indicates extreme overbought condition; current position of 0.8 far exceeds safe limit; portfolio drawdown is negative; volatility remains elevated.,False,trust_weight_module,0.2,AAPL,-0.318663
BUY,430.705302,0.5988,2025-08-29,0.0,Trust-weighted agent score=0.125; regime=sideways; risk_level=low; growth floor applied unless risk is extreme.,当前组合回撤为0，价格位于MA20之上，MACD信号线即将金叉，RSI中性偏弱，波动率处于正常范围，整体风险较低。,False,trust_weight_module,0.6,IVV,0.125
BUY,453.272833,0.5695,2025-09-25,0.6,Trust-weighted agent score=0.013; regime=bullish; risk_level=high; growth floor applied unless risk is extreme.,RSI14为73.38，接近超买区域，且当前仓位0.6超过建议上限0.4，存在回调风险。,False,trust_weight_module,0.8,IVV,0.012835
SELL,437.538603,0.8322,2025-10-23,0.8,Trust-weighted agent score=-0.706; regime=bearish; risk_level=high; growth floor applied unless risk is extreme.,当前持仓0.8远超建议上限0.4；价格低于MA5和MA20，短期与中期均线空头排列；MACD负值且低于信号线，动量偏空；RSI低于40，接近超卖但未确认反转；组合回撤-4.34%接近60日最大回撤-5.4%，需警惕进一步下行风险。,False,trust_weight_module,0.0,IVV,-0.7063
BUY,448.539961,0.5991,2025-11-20,0.0,Trust-weighted agent score=0.126; regime=sideways; risk_level=low; growth floor applied unless risk is extreme.,当前组合回撤-4.34%处于可控范围，价格位于MA20和MA60之上，MACD金叉信号持续，但5日均线低于现价且RSI中性偏弱，短期存在回调压力。建议维持仓位但避免加仓。,False,trust_weight_module,0.8,IVV,0.126013
SELL,430.32524,0.8003,2025-12-18,0.8,Trust-weighted agent score=-0.644; regime=bearish; risk_level=high; growth floor applied unless risk is extreme.,当前持仓0.8远超建议上限0.4；价格低于MA20和MA60，MACD为负且低于信号线，RSI低于50，60日回撤接近-7%，波动率偏高，存在持续下行风险。,False,trust_weight_module,0.0,IVV,-0.643763
BUY,435.906248,0.6586,2026-01-15,0.0,Trust-weighted agent score=-0.296; regime=sideways; risk_level=medium; growth floor applied unless risk is extreme.,当前组合回撤-7.43%，接近中等风险阈值；价格略低于MA5，RSI中性偏弱，MACD虽金叉但信号线仍为负，短期动能有限。,False,trust_weight_module,0.6,IVV,-0.295897
